city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Douyu,37.9007,114.5035,China,CN,Hebei,,49914,49914
Shankou,24.5032,116.4046,China,CN,Guangdong,,49896,49896
Jiuzhou,39.5054,116.5642,China,CN,Hebei,,49616,49616
Fangcun,37.9799,114.5490,China,CN,Hebei,,49212,49212
Baicheng,41.7957,81.8715,China,CN,Xinjiang,minor,49207,49207
Yong’an,31.0504,109.5167,China,CN,Chongqing,minor,49168,49168
Guozhen,34.3686,107.2075,China,CN,Shaanxi,minor,49100,49100
Zongshizhuang,37.8615,115.0575,China,CN,Hebei,,49014,49014
Wofotang,38.6190,116.2681,China,CN,Hebei,,48986,48986
Donglizhuang,37.9351,115.0838,China,CN,Hebei,,48686,48686
Liujiaxia,35.9423,103.3146,China,CN,Gansu,minor,48505,48505
Jiashizhuang,37.8683,114.9478,China,CN,Hebei,,48274,48274
Dongshan,22.0628,112.8292,China,CN,Guangdong,,48229,48229
Longtoushan Jiezi,27.1157,103.3817,China,CN,Yunnan,minor,48150,48150
Zhujiacun,26.3164,104.3893,China,CN,Yunnan,minor,48124,48124
Yongping,37.0103,109.8243,China,CN,Shaanxi,,47990,47990
Mengmeng,23.4718,99.8336,China,CN,Yunnan,minor,47966,47966
Yecun,33.7663,110.1305,China,CN,Shaanxi,,47575,47575
Liuhu,35.5449,106.6801,China,CN,Gansu,,47442,47442
Pangkou,38.6457,115.9438,China,CN,Hebei,,47139,47139
Qingyuan,24.5004,108.6667,China,CN,Guangxi,,47062,47062
Liulin,36.5570,109.4731,China,CN,Shaanxi,,46991,46991
Jitaicun,36.3533,115.3048,China,CN,Hebei,,46974,46974
Yashan,22.4776,112.7289,China,CN,Guangdong,,46700,46700
Nanzhuangzhen,23.7210,102.8231,China,CN,Yunnan,,46696,46696
Daxiang,22.3775,112.8008,China,CN,Guangdong,,46674,46674
Wangtan,39.2836,118.9740,China,CN,Hebei,,46645,46645
Shimenzhai,40.0892,119.6019,China,CN,Hebei,,46356,46356
Yehe,37.9416,114.5928,China,CN,Hebei,,46333,46333
Qiutouzhen,37.9841,114.6909,China,CN,Hebei,,46291,46291
Fangguan,39.3237,115.9856,China,CN,Hebei,,46090,46090
Anshan,39.7119,118.9845,China,CN,Hebei,,45804,45804
Dongzhuosu,38.0658,115.1232,China,CN,Hebei,,45748,45748
Changchong,26.3815,107.1839,China,CN,Guizhou,,45702,45702
Tangdukou,26.9949,111.2708,China,CN,Hunan,minor,45617,45617
Caiguantun,26.3363,105.9841,China,CN,Guizhou,,45580,45580
Baijie,26.0470,106.7418,China,CN,Guizhou,,45576,45576
Xisa,23.4372,104.6714,China,CN,Yunnan,minor,45518,45518
Nongzhangjie,24.6160,97.8818,China,CN,Yunnan,,45270,45270
Bingmei,25.7408,108.9023,China,CN,Guizhou,,45094,45094
Shangshan,23.4792,115.6918,China,CN,Guangdong,,44871,44871
Shazhou,40.1376,94.6638,China,CN,Gansu,minor,44870,44870
Xingji,38.4682,116.8918,China,CN,Hebei,,44849,44849
Liuquan,39.3658,116.3138,China,CN,Hebei,,44765,44765
Yaopu,26.1708,105.8480,China,CN,Guizhou,,44703,44703
Tangjia,20.8414,109.8489,China,CN,Guangdong,,44684,44684
Yaoquan,34.5851,105.7262,China,CN,Gansu,,44372,44372
Houbu,36.4370,112.9794,China,CN,Shanxi,,44360,44360
Changtoushang,19.3441,110.6096,China,CN,Hainan,,44326,44326
Tuodian,24.6907,101.6382,China,CN,Yunnan,minor,44265,44265
Beiwanglizhen,37.7604,114.6373,China,CN,Hebei,,44112,44112
Daijiazhuang,38.1345,114.3906,China,CN,Hebei,,44111,44111
Yuchengcun,23.5613,116.2715,China,CN,Guangdong,,43983,43983
Menghan,21.8526,100.9265,China,CN,Yunnan,,43965,43965
Xin’ansuo,23.3228,103.4354,China,CN,Yunnan,,43808,43808
Xinjun,28.7232,120.0190,China,CN,Zhejiang,,43793,43793
Hanerik,37.2241,79.7964,China,CN,Xinjiang,,43751,43751
Qingfengdian,38.6084,115.0568,China,CN,Hebei,,43703,43703
Jinku,23.0505,112.5150,China,CN,Guangdong,,43623,43623
Jiaohe,38.0228,116.2845,China,CN,Hebei,,43547,43547
Xihuachi,35.8092,108.0121,China,CN,Gansu,minor,43338,43338
Zhangliangcun,37.1256,112.0664,China,CN,Shanxi,,43151,43151
Khutubi,44.1874,86.8946,China,CN,Xinjiang,minor,43127,43127
Nansan,23.7784,98.8253,China,CN,Yunnan,minor,43097,43097
Nandazhang,38.1024,114.7658,China,CN,Hebei,,42934,42934
Zhangcun,38.1329,114.9421,China,CN,Hebei,,42911,42911
Shuilou,22.3352,112.8018,China,CN,Guangdong,,42578,42578
Hulin,45.7686,132.9746,China,CN,Heilongjiang,,42559,42559
Loufan,38.0694,111.7911,China,CN,Shanxi,minor,42520,42520
Shenjiatun,40.7695,114.8549,China,CN,Hebei,,42338,42338
Cuihua,27.7527,103.8906,China,CN,Yunnan,minor,42262,42262
Machang,26.5477,106.0375,China,CN,Guizhou,,42185,42185
Liantang,22.9307,111.7237,China,CN,Guangdong,,42141,42141
Wangyuanqiao,38.3849,106.2664,China,CN,Ningxia,,42022,42022
Lingquan,36.9985,110.8417,China,CN,Shanxi,minor,41996,41996
Yangcunzai,23.4338,114.4664,China,CN,Guangdong,,41958,41958
Yinggen,19.0372,109.8283,China,CN,Hainan,minor,41835,41835
Dusheng,38.3804,116.5500,China,CN,Hebei,,41774,41774
